t;x;v
5.7900;-0.116281788665;-0.530437677177
5.8000;-0.121586165437;-0.527581603727
5.8100;-0.126861981474;-0.524622298815
5.8200;-0.132108204462;-0.521560436886
5.8300;-0.137323808831;-0.518396712360
5.8400;-0.142507775955;-0.515131839471
5.8500;-0.147659094349;-0.511766552113
5.8600;-0.152776759871;-0.508301603673
5.8700;-0.157859775907;-0.504737766872
5.8800;-0.162907153576;-0.501075833587
5.8900;-0.167917911912;-0.497316614682
5.9000;-0.172891078059;-0.493460939829
5.9100;-0.177825687457;-0.489509657328
5.9200;-0.182720784030;-0.485463633922
5.9300;-0.187575420370;-0.481323754607
5.9400;-0.192388657916;-0.477090922445
5.9500;-0.197159567140;-0.472766058365
5.9600;-0.201887227724;-0.468350100963
5.9700;-0.206570728733;-0.463844006308
5.9800;-0.211209168796;-0.459248747727
5.9900;-0.215801656274;-0.454565315603
6.0000;-0.220347309430;-0.449794717162
6.0100;-0.224845256601;-0.444937976256
6.0200;-0.229294636364;-0.439996133148
6.0300;-0.233694597695;-0.434970244288
6.0400;-0.238044300138;-0.429861382090
6.0500;-0.242342913959;-0.424670634705
6.0600;-0.246589620306;-0.419399105791
6.0700;-0.250783611364;-0.414047914279
6.0800;-0.254924090507;-0.408618194137
6.0900;-0.259010272448;-0.403111094133
6.1000;-0.263041383390;-0.397527777590
6.1100;-0.267016661166;-0.391869422145
6.1200;-0.270935355387;-0.386137219499
6.1300;-0.274796727582;-0.380332375172
6.1400;-0.278600051334;-0.374456108245
6.1500;-0.282344612416;-0.368509651110
6.1600;-0.286029708927;-0.362494249211
6.1700;-0.289654651419;-0.356411160783
6.1800;-0.293218763027;-0.350261656594
6.1900;-0.296721379593;-0.344047019677
6.2000;-0.300161849790;-0.337768545065
6.2100;-0.303539535241;-0.331427539524
6.2200;-0.306853810636;-0.325025321280
6.2300;-0.310104063849;-0.318563219746
6.2400;-0.313289696046;-0.312042575249
6.2500;-0.316410121799;-0.305464738753
6.2600;-0.319464769186;-0.298831071578
6.2700;-0.322453079902;-0.292142945123
6.2800;-0.325374509353;-0.285401740580
6.2900;-0.328228526759;-0.278608848652
6.3000;-0.331014615245;-0.271765669268
6.3100;-0.333732271938;-0.264873611294
6.3200;-0.336381008051;-0.257934092244
6.3300;-0.338960348973;-0.250948537991
6.3400;-0.341469834353;-0.243918382473
6.3500;-0.343909018178;-0.236845067404
6.3600;-0.346277468852;-0.229730041973
6.3700;-0.348574769272;-0.222574762554
6.3800;-0.350800516897;-0.215380692406
6.3900;-0.352954323821;-0.208149301376
6.4000;-0.355035816835;-0.200882065598
6.4100;-0.357044637491;-0.193580467195
6.4200;-0.358980442163;-0.186245993978
6.4300;-0.360842902103;-0.178880139141
6.4400;-0.362631703494;-0.171484400960
6.4500;-0.364346547504;-0.164060282489
6.4600;-0.365987150329;-0.156609291257
6.4700;-0.367553243241;-0.149132938959
6.4800;-0.369044572631;-0.141632741155
6.4900;-0.370460900043;-0.134110216961
6.5000;-0.371802002212;-0.126566888743
6.5100;-0.373067671100;-0.119004281810
6.5200;-0.374257713918;-0.111423924107
6.5300;-0.375371953159;-0.103827345904
6.5400;-0.376410226618;-0.096216079495
6.5500;-0.377372387413;-0.088591658883
6.5600;-0.378258304002;-0.080955619476
6.5700;-0.379067860196;-0.073309497777
6.5800;-0.379800955174;-0.065654831075
6.5900;-0.380457503485;-0.057993157140
6.6000;-0.381037435056;-0.050326013913
6.6100;-0.381540695195;-0.042654939198
6.6200;-0.381967244587;-0.034981470355
6.6300;-0.382317059291;-0.027307143993
6.6400;-0.382590130731;-0.019633495663
6.6500;-0.382786465688;-0.011962059553
6.6600;-0.382906086283;-0.004294368180
6.6700;-0.382949029965;0.003368047914
6.6800;-0.382915349486;0.011023660465
6.6900;-0.382805112881;0.018670943795
